"Timestamp","Which age group do you belong to?","What is your profession?","Who is your favourate political leader in India?","Do you think Narendra Modi has the ability to transform India?","How much time do you give to your mobile phone in one day?","What would you like to do in your free time?","What would you do to enhance your knowledge?","Which type of music do you love to listen?","Which type of marriage is best?","Which social networking plateform do you love to use the most?","Which online shopping site do you like to prefer?","How much time you give to your parents in a day?","What would you like to do to remain fit and healthy?","Which shampoo brand would you like to use?","Which toothpaste brand would you like to use?"
"2018/12/10 2:23:10 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Flipkart","less than 1 hour","Normal Excercises","Dove","Colgate"
"2018/12/10 2:23:24 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","1-3 hours","Read News","Read Newspapers","","Arrange Marriage","Watsapp","Amazon","4-5 hours","Normal Excercises","Selsun","Shy-nm"
"2018/12/10 2:34:44 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Instagram","Flipkart","less than 1 hour","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/10 2:46:33 pm GMT+5:30","11-20 year","Student","Arun Jaitley","Yes","less than 1hour","Watch Movies","Iq games","Classic","Love Marriage","Google","Amazon","greater than 5 hours","Always keep smiling","Dove","Colgate"
"2018/12/10 3:04:59 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Hangout with friends","Watch documentaries / Educational videos","Hiphop","Love Marriage","Instagram","Flipkart","2-3 hours","Normal Excercises","Hello","Close-Up"
"2018/12/10 3:33:14 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Scooty se Ghumnaa","Social Networking Sites","Jo bhajj rha ho sun lete hai ","Love Marriage","Watsapp","Amazon","2-3 hours","Scooty Drivingg","Usee hi nhi krte hai","Colgate"
"2018/12/10 3:35:12 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Watch documentaries / Educational videos","Rock","Remain Single forever","Instagram","Snapdeal","greater than 5 hours","Jym","TRESemme","Dant Kanti"
"2018/12/10 3:36:16 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Flipkart","1-2 hours","Normal Excercises","LOreal","Colgate"
"2018/12/10 5:28:03 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","communicate with others as communicating is the best way to get knowledge","Depends on mood","Arrange Marriage","Snapchat","Amazon","less than 1 hour","Kuch nhi 😉","Bear shampoo","Colgate"
"2018/12/10 5:39:56 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Using mobile phone","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Myntra","2-3 hours","Normal Excercises","Kesh Kanti","Dant Kanti"
"2018/12/10 5:50:55 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Play Outdoor Games","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Watsapp","Flipkart","1-2 hours","Normal Excercises","TRESemme","Colgate"
"2018/12/10 6:27:10 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Books","Romantic","Love Marriage","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Kesh Kanti","Colgate"
"2018/12/10 7:41:16 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Play Computer Games","Read Articles","Classic","Arrange Marriage","Watsapp","Flipkart","4-5 hours","Kuch na","Dove","Close-Up"
"2018/12/10 7:48:35 pm GMT+5:30","11-20 year","Student","I like freedom fighters rather than political leaders","Yes","less than 1hour","Spend time with my family","Watch documentaries / Educational videos","I like to listen only my favourite hero movie songs of any category","Remain Single forever","No I do not use any social networking site","Amazon","2-3 hours","Normal Excercises","Clinic plus ","Colgate"
"2018/12/10 10:35:26 pm GMT+5:30","11-20 year","Student","Rahul Gandhi","Yes","1-3 hours","Hangout with friends","Read Books","Hiphop","Love Marriage","Watsapp","Amazon","2-3 hours","Nothing","Halo","Sensodyne"
"2018/12/10 11:05:22 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Outdoor Games","Read Newspapers","Romantic","Love Marriage","Instagram","Paytm Mall","4-5 hours","Normal Excercises","Clinic Plus","Dant Kanti"
"2018/12/10 11:41:24 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play outdoor sports","Read Newspapers","Romantic","Love Marriage","Watsapp","Amazon","1-2 hours","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/10 11:53:29 pm GMT+5:30","11-20 year","Student","Narendra Modi","No","3-5 hours","Pubg","Watch documentaries / Educational videos","Rock","Love Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Head & Shoulders","Pepsodent"
"2018/12/11 8:53:08 am GMT+5:30","31-40 year","Business","Narendra Modi","Yes","1-3 hours","Read something new","Watch documentaries / Educational videos","Romantic","Love Marriage","Facebook","Myntra","less than 1 hour","Normal Excercises","Garnier","Daburred"
